"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"org.CustomQueue.CustomQueueBenchmark.testAdd","avgt",1,3,28617.296019,6608.569246,"ns/op",10000
"org.CustomQueue.CustomQueueBenchmark.testAdd","avgt",1,3,55250.456043,64895.744670,"ns/op",20000
"org.CustomQueue.CustomQueueBenchmark.testAdd","avgt",1,3,76561.350823,12710.900168,"ns/op",30000
"org.CustomQueue.CustomQueueBenchmark.testAdd","avgt",1,3,107680.300362,90241.028461,"ns/op",40000
"org.CustomQueue.CustomQueueBenchmark.testAdd","avgt",1,3,128612.203109,24189.129631,"ns/op",50000
"org.CustomQueue.CustomQueueBenchmark.testAdd","avgt",1,3,153721.304759,76108.487796,"ns/op",60000
"org.CustomQueue.CustomQueueBenchmark.testAdd","avgt",1,3,248953.913828,568549.357727,"ns/op",70000
"org.CustomQueue.CustomQueueBenchmark.testAdd","avgt",1,3,216197.002038,26445.522517,"ns/op",80000
"org.CustomQueue.CustomQueueBenchmark.testAdd","avgt",1,3,251649.785716,241276.466380,"ns/op",90000
"org.CustomQueue.CustomQueueBenchmark.testAdd","avgt",1,3,273176.531724,384484.830267,"ns/op",100000
"org.CustomQueue.CustomQueueBenchmark.testAddAll","avgt",1,3,25124.186212,7870.119918,"ns/op",10000
"org.CustomQueue.CustomQueueBenchmark.testAddAll","avgt",1,3,47644.355434,13889.178138,"ns/op",20000
"org.CustomQueue.CustomQueueBenchmark.testAddAll","avgt",1,3,71466.433170,36377.555544,"ns/op",30000
"org.CustomQueue.CustomQueueBenchmark.testAddAll","avgt",1,3,97842.068906,28648.607063,"ns/op",40000
"org.CustomQueue.CustomQueueBenchmark.testAddAll","avgt",1,3,122022.827003,130056.265903,"ns/op",50000
"org.CustomQueue.CustomQueueBenchmark.testAddAll","avgt",1,3,220760.721600,129208.698396,"ns/op",60000
"org.CustomQueue.CustomQueueBenchmark.testAddAll","avgt",1,3,235264.414154,913087.551953,"ns/op",70000
"org.CustomQueue.CustomQueueBenchmark.testAddAll","avgt",1,3,193233.639217,108210.250540,"ns/op",80000
"org.CustomQueue.CustomQueueBenchmark.testAddAll","avgt",1,3,205063.491458,21387.345824,"ns/op",90000
"org.CustomQueue.CustomQueueBenchmark.testAddAll","avgt",1,3,225922.113260,3460.560889,"ns/op",100000
"org.CustomQueue.CustomQueueBenchmark.testClear","avgt",1,3,26304.304626,280.889233,"ns/op",10000
"org.CustomQueue.CustomQueueBenchmark.testClear","avgt",1,3,52650.757045,3596.293061,"ns/op",20000
"org.CustomQueue.CustomQueueBenchmark.testClear","avgt",1,3,77983.778136,1151.497571,"ns/op",30000
"org.CustomQueue.CustomQueueBenchmark.testClear","avgt",1,3,104432.512345,3561.889595,"ns/op",40000
"org.CustomQueue.CustomQueueBenchmark.testClear","avgt",1,3,127925.863138,55667.803028,"ns/op",50000
"org.CustomQueue.CustomQueueBenchmark.testClear","avgt",1,3,150091.701787,163180.066645,"ns/op",60000
"org.CustomQueue.CustomQueueBenchmark.testClear","avgt",1,3,172152.606598,210695.086517,"ns/op",70000
"org.CustomQueue.CustomQueueBenchmark.testClear","avgt",1,3,193843.235509,239942.038872,"ns/op",80000
"org.CustomQueue.CustomQueueBenchmark.testClear","avgt",1,3,213091.405744,249701.472874,"ns/op",90000
"org.CustomQueue.CustomQueueBenchmark.testClear","avgt",1,3,231185.226554,127649.352371,"ns/op",100000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,974.795822,475.791559,"ns/op",10000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,1688.201332,370.483954,"ns/op",20000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,1850.813045,4161.623898,"ns/op",30000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,2539.351467,150.589895,"ns/op",40000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,2604.863403,2270.128478,"ns/op",50000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,3448.791091,791.826303,"ns/op",60000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,5641.097076,3520.243699,"ns/op",70000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,5642.316034,7275.830941,"ns/op",80000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,5920.745339,11550.871833,"ns/op",90000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,6973.313843,4196.209915,"ns/op",100000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCollection","avgt",1,3,21752.414740,37591.013086,"ns/op",10000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCollection","avgt",1,3,41726.545157,48671.273081,"ns/op",20000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCollection","avgt",1,3,61252.082772,30410.099237,"ns/op",30000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCollection","avgt",1,3,90133.838047,105056.838024,"ns/op",40000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCollection","avgt",1,3,102163.555277,17089.525244,"ns/op",50000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCollection","avgt",1,3,126211.341048,255688.665698,"ns/op",60000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCollection","avgt",1,3,144495.859908,36452.401582,"ns/op",70000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCollection","avgt",1,3,174698.992336,47996.256827,"ns/op",80000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCollection","avgt",1,3,199799.077898,349506.708020,"ns/op",90000
"org.CustomQueue.CustomQueueBenchmark.testConstructorCollection","avgt",1,3,218911.020809,423664.781017,"ns/op",100000
"org.CustomQueue.CustomQueueBenchmark.testConstructorDefault","avgt",1,3,42.315762,220.512843,"ns/op",10000
"org.CustomQueue.CustomQueueBenchmark.testConstructorDefault","avgt",1,3,36.603610,86.214386,"ns/op",20000
"org.CustomQueue.CustomQueueBenchmark.testConstructorDefault","avgt",1,3,51.345041,487.221824,"ns/op",30000
"org.CustomQueue.CustomQueueBenchmark.testConstructorDefault","avgt",1,3,27.150651,16.358426,"ns/op",40000
"org.CustomQueue.CustomQueueBenchmark.testConstructorDefault","avgt",1,3,65.753409,980.891172,"ns/op",50000
"org.CustomQueue.CustomQueueBenchmark.testConstructorDefault","avgt",1,3,28.153059,16.386740,"ns/op",60000
"org.CustomQueue.CustomQueueBenchmark.testConstructorDefault","avgt",1,3,29.717694,23.734845,"ns/op",70000
"org.CustomQueue.CustomQueueBenchmark.testConstructorDefault","avgt",1,3,50.452541,228.851649,"ns/op",80000
"org.CustomQueue.CustomQueueBenchmark.testConstructorDefault","avgt",1,3,38.737569,226.748774,"ns/op",90000
"org.CustomQueue.CustomQueueBenchmark.testConstructorDefault","avgt",1,3,39.197399,227.724273,"ns/op",100000
"org.CustomQueue.CustomQueueBenchmark.testContains","avgt",1,3,2753.325227,4377.011584,"ns/op",10000
"org.CustomQueue.CustomQueueBenchmark.testContains","avgt",1,3,5895.824436,98.947460,"ns/op",20000
"org.CustomQueue.CustomQueueBenchmark.testContains","avgt",1,3,8491.170755,407.247975,"ns/op",30000
"org.CustomQueue.CustomQueueBenchmark.testContains","avgt",1,3,11565.114888,1645.356021,"ns/op",40000
"org.CustomQueue.CustomQueueBenchmark.testContains","avgt",1,3,14472.099592,2097.494558,"ns/op",50000
"org.CustomQueue.CustomQueueBenchmark.testContains","avgt",1,3,17170.325791,3260.662780,"ns/op",60000
"org.CustomQueue.CustomQueueBenchmark.testContains","avgt",1,3,18954.610163,1776.901420,"ns/op",70000
"org.CustomQueue.CustomQueueBenchmark.testContains","avgt",1,3,20581.731859,2051.202610,"ns/op",80000
"org.CustomQueue.CustomQueueBenchmark.testContains","avgt",1,3,21976.932746,1798.843724,"ns/op",90000
"org.CustomQueue.CustomQueueBenchmark.testContains","avgt",1,3,23762.628764,2990.245401,"ns/op",100000
"org.CustomQueue.CustomQueueBenchmark.testContainsAll","avgt",1,3,10440.640140,370.082070,"ns/op",10000
"org.CustomQueue.CustomQueueBenchmark.testContainsAll","avgt",1,3,20766.209228,1661.161572,"ns/op",20000
"org.CustomQueue.CustomQueueBenchmark.testContainsAll","avgt",1,3,30039.550207,716.887424,"ns/op",30000
"org.CustomQueue.CustomQueueBenchmark.testContainsAll","avgt",1,3,39571.249218,8273.027451,"ns/op",40000
"org.CustomQueue.CustomQueueBenchmark.testContainsAll","avgt",1,3,48996.713846,2359.489182,"ns/op",50000
"org.CustomQueue.CustomQueueBenchmark.testContainsAll","avgt",1,3,58894.422767,4630.306774,"ns/op",60000
"org.CustomQueue.CustomQueueBenchmark.testContainsAll","avgt",1,3,68758.215171,3178.373764,"ns/op",70000
"org.CustomQueue.CustomQueueBenchmark.testContainsAll","avgt",1,3,80392.055347,10096.408889,"ns/op",80000
"org.CustomQueue.CustomQueueBenchmark.testContainsAll","avgt",1,3,94202.885612,186215.085035,"ns/op",90000
"org.CustomQueue.CustomQueueBenchmark.testContainsAll","avgt",1,3,98362.341000,7542.546575,"ns/op",100000
"org.CustomQueue.CustomQueueBenchmark.testElement","avgt",1,3,20.050020,148.761227,"ns/op",10000
"org.CustomQueue.CustomQueueBenchmark.testElement","avgt",1,3,23.602762,24.772019,"ns/op",20000
"org.CustomQueue.CustomQueueBenchmark.testElement","avgt",1,3,22.351956,8.672610,"ns/op",30000
"org.CustomQueue.CustomQueueBenchmark.testElement","avgt",1,3,23.382361,17.948901,"ns/op",40000
"org.CustomQueue.CustomQueueBenchmark.testElement","avgt",1,3,29.279772,153.220035,"ns/op",50000
"org.CustomQueue.CustomQueueBenchmark.testElement","avgt",1,3,31.751672,68.905860,"ns/op",60000
"org.CustomQueue.CustomQueueBenchmark.testElement","avgt",1,3,31.406434,31.894790,"ns/op",70000
"org.CustomQueue.CustomQueueBenchmark.testElement","avgt",1,3,25.884420,48.531194,"ns/op",80000
"org.CustomQueue.CustomQueueBenchmark.testElement","avgt",1,3,25.061172,51.954178,"ns/op",90000
"org.CustomQueue.CustomQueueBenchmark.testElement","avgt",1,3,26.767979,95.964132,"ns/op",100000
